,namePlayer,value
771,Brandon Ingram,27285000.0
772,Brandon Ingram,29467800.0
773,Brandon Ingram,31650600.0
774,Brandon Ingram,33833400.0
775,Brandon Ingram,36016200.0
776,Eric Bledsoe,16875000.0
777,Eric Bledsoe,18125000.0
778,Eric Bledsoe,19375000.0
779,Isaiah Thomas,110998.0
780,James Johnson,16047100.0
781,Jaxson Hayes,5105160.0
782,Jaxson Hayes,5348280.0
783,Jaxson Hayes,6803012.0
784,Jaxson Hayes,9170460.0
785,Josh Hart,3491159.0
786,Josh Hart,5236739.0
787,Kira Lewis Jr,3640200.0
788,Kira Lewis Jr,3822240.0
789,Kira Lewis Jr,4004280.0
790,Kira Lewis Jr,5722116.0
791,Kira Lewis Jr,7913686.0
792,Lonzo Ball,11003782.0
793,Lonzo Ball,14359936.0
794,Nickeil AlexanderWalker,3113160.0
795,Nickeil AlexanderWalker,3261480.0
796,Nickeil AlexanderWalker,5009633.0
797,Nickeil AlexanderWalker,7073602.0
798,Sindarius Thornwell,721484.0
799,Sindarius Thornwell  E,110998.0
800,Steven Adams,29592695.0
801,Steven Adams,17073171.0
802,Steven Adams,17926829.0
803,Wenyen Gabriel,1620564.0
804,Wenyen Gabriel,1762796.0
805,Wesley Iwundu,1678854.0
806,Wesley Iwundu,1824003.0
807,Willy Hernangomez,1620564.0
808,Zion Williamson,10245480.0
809,Zion Williamson,10733400.0
810,Zion Williamson,13534817.0
811,Zion Williamson,17595262.0
812,Alec Burks,6000000.0
813,Andrew White,25000.0
814,Derrick Rose,7682926.0
815,Elfrid Payton,4767000.0
816,Frank Ntilikina,6176578.0
817,Frank Ntilikina,8326027.0
818,Immanuel Quickley,2105520.0
819,Immanuel Quickley,2210640.0
820,Immanuel Quickley,2316240.0
821,Immanuel Quickley,4171548.0
822,Immanuel Quickley,6128004.0
823,Jacob Evans,2017320.0
824,Jared Harper,1669178.0
825,Joakim Noah,6431667.0
826,Joakim Noah,6431667.0
827,John Henson,110998.0
828,Julius Randle,18900000.0
829,Julius Randle,19800000.0
