,DISPLAY_FIRST_LAST,SCHOOL,COUNTRY,PTS,AST,REB,ALL_STAR_APPEARANCES,DRAFT_YEAR
2459,Ollie Mack,East Carolina,USA,7.2,1.8,2.5,0.0,1979
2460,Sam Mack,Houston,USA,7.8,1.3,2.1,0.0,Undrafted
2461,Shelvin Mack,Butler,USA,6.6,3.1,2.0,0.0,2011
2462,Malcolm Mackey,Georgia Tech,USA,1.5,0.0,1.1,0.0,1993
2463,Rudy Macklin,Louisiana State,USA,6.4,0.8,2.9,0.0,1981
2464,Vernon Macklin,Florida,USA,2.0,0.2,1.5,0.0,2011
2465,Johnny Macknowski,Seton Hall,USA,7.0,1.1,1.9,0.0,1948
2466,Daryl Macon,Arkansas,USA,2.7,0.7,1.0,0.0,Undrafted
2467,Mark Macon,Temple,USA,6.7,1.7,1.9,0.0,1991
2468,J.P. Macura,Xavier,USA,2.0,0.7,1.0,0.0,Undrafted
2469,Kyle Macy,Kentucky,USA,9.5,4.0,2.2,0.0,1979
2470,Jack Maddox,West Texas A&M,USA,0.0,1.0,,0.0,Undrafted
2471,Tito Maddox,Fresno State,USA,1.2,0.6,0.8,0.0,2002
2472,Gerald Madkins,UCLA,USA,1.7,1.4,0.5,0.0,Undrafted
2473,Mark Madsen,Stanford,USA,2.2,0.4,2.6,0.0,2000
2474,Norm Mager,City College of New York,USA,5.2,0.9,2.0,0.0,1950
2475,Josh Magette,Alabama Huntsville,USA,2.2,2.4,1.0,0.0,Undrafted
2476,Corey Maggette,Duke,USA,16.0,2.1,4.9,0.0,1999
2477,Dave Magley,Kansas,USA,0.9,0.1,0.7,0.0,1982
2478,Jamaal Magloire,Kentucky,Canada,7.2,0.6,6.5,1.0,2000
2479,Ian Mahinmi,Pau Orthez,France,5.2,0.6,4.4,0.0,2005
2480,John Mahnken,Georgetown,USA,5.8,1.3,2.9,0.0,Undrafted
2481,Francis Mahoney,Brown,USA,1.5,0.3,1.1,0.0,1950
2482,Rick Mahorn,Hampton,USA,6.9,1.0,6.2,0.0,1980
2483,Dan Majerle,Central Michigan,USA,11.4,2.9,4.5,3.0,1988
2484,Renaldo Major,Fresno State,USA,5.0,0.0,2.0,0.0,Undrafted
2485,Thon Maker, ,South Sudan,3.8,0.5,2.3,,2016
2486,Lionel Malamed,City College of New York,USA,5.9,1.4,,0.0,Undrafted
2487,Jeff Malone,Mississippi State,USA,19.0,2.4,2.6,2.0,1983
2488,Karl Malone,Louisiana Tech,USA,25.0,3.6,10.1,12.0,1985
2489,Moses Malone,Petersburg HS (VA),USA,20.6,1.4,12.2,11.0,Undrafted
2490,Matt Maloney,Pennsylvania,USA,7.4,2.9,1.7,0.0,Undrafted
2491,Steve Malovic,San Diego State,USA,2.1,0.7,2.2,0.0,1978
2492,Ted Manakas,Princeton,USA,2.4,0.4,0.6,0.0,1973
2493,John Mandic,Oregon State,USA,4.1,1.1,,0.0,1947
2494,Frank Mangiapane,New York University,USA,0.8,0.0,,0.0,Undrafted
2495,Marcus Mann,Mississippi Valley State,USA,,,,,1996
2496,Terance Mann,Florida State,USA,5.3,1.2,3.4,,2019
2497,Danny Manning,Kansas,USA,14.0,2.3,5.2,2.0,1988
2498,Ed Manning,Jackson State,USA,5.1,0.7,4.5,0.0,1967
2499,Richard Manning,Washington,USA,3.3,0.2,1.7,0.0,1993
2500,Pace Mannion,Utah,USA,3.1,1.1,1.2,0.0,1983
2501,Nick Mantis,Northwestern,USA,5.6,2.2,2.2,0.0,1959
2502,Pete Maravich,Louisiana State,USA,24.2,5.4,4.2,4.0,1970
2503,Peter Maravich,Davis & Elkins,USA,4.6,0.1,,0.0,Undrafted
2504,Devyn Marble,Iowa,USA,2.2,0.7,1.6,0.0,2014
2505,Roy Marble,Iowa,USA,1.9,0.4,1.1,0.0,1989
2506,Stephon Marbury,Georgia Tech,USA,19.3,7.6,3.0,2.0,1996
2507,Sarunas Marciulionis,Statyba,Lithuania,12.8,2.2,2.3,0.0,1987
2508,Saul Mariaschin,Harvard,USA,7.7,1.4,,0.0,1947
2509,Jack Marin,Duke,USA,14.8,2.1,5.2,2.0,1966
2510,Shawn Marion,UNLV,USA,15.2,1.9,8.7,4.0,1999
2511,Boban Marjanovic,Crvena zvezda,Serbia,4.4,0.2,3.9,,Undrafted
2512,Lauri Markkanen,Arizona,Finland,17.7,0.9,6.0,,2017
2513,Damir Markota,Cibona,Croatia,1.7,0.2,1.0,0.0,2006
2514,Sean Marks,California,New Zealand,2.8,0.2,2.2,0.0,1998
2515,Harvey Marlatt,Eastern Michigan,USA,3.7,1.5,1.4,0.0,Undrafted
2516,Eric Marsh,Manhattan,USA,4.5,1.5,1.3,0.0,1977
2517,Jim Marsh,Southern California,USA,3.1,0.8,2.2,0.0,1968
2518,Donny Marshall,Connecticut,USA,2.5,0.3,1.0,0.0,1995
2519,Donyell Marshall,Connecticut,USA,11.2,1.4,6.7,0.0,1994
2520,Kendall Marshall,North Carolina,USA,5.0,4.9,1.6,0.0,2012
2521,Rawle Marshall,Oakland,USA,2.7,0.4,1.0,0.0,Undrafted
2522,Tom Marshall,Western Kentucky,USA,5.7,1.1,2.9,0.0,1954
2523,Vester Marshall,Oklahoma,USA,1.3,0.3,2.8,0.0,Undrafted
2524,Bill Martin,Georgetown,USA,4.7,0.7,1.6,0.0,1985
2525,Bob Martin,Minnesota,USA,2.1,0.3,2.2,0.0,Undrafted
2526,Brian Martin,Kansas,USA,0.8,0.0,0.5,0.0,1984
2527,Caleb Martin,Nevada-Reno,USA,5.3,1.1,2.6,,Undrafted
2528,Cartier Martin,Kansas State,USA,5.1,0.5,1.9,0.0,Undrafted
2529,Cody Martin,Nevada-Reno,USA,3.8,1.2,2.4,,2019
2530,Cuonzo Martin,Purdue,USA,1.3,0.4,0.4,0.0,1995
2531,Darrick Martin,UCLA,USA,6.9,2.9,1.1,0.0,Undrafted
2532,Don Martin,Central Missouri,USA,3.0,0.3,,0.0,Undrafted
2533,Donald Martin,Georgetown,USA,9.1,0.8,,0.0,Undrafted
2534,Fernando Martin,Real Madrid,Spain,0.9,0.4,1.2,0.0,1985
2535,Jarell Martin,Louisiana State,USA,5.4,0.6,3.5,0.0,2015
2536,Jeff Martin,Murray State,USA,6.7,0.8,2.0,0.0,1989
2537,Jeremiah Martin,Memphis,USA,7.1,2.0,1.1,0.0,Undrafted
2538,Kelan Martin,Butler,USA,1.3,0.1,0.9,,Undrafted
2539,Kenyon Martin,Cincinnati,USA,12.3,1.9,6.8,1.0,2000
2540,Kevin Martin,Western Carolina,USA,17.4,1.9,3.2,0.0,2004
2541,Larue Martin,Loyola-Chicago,USA,5.3,0.7,4.6,0.0,1972
2542,Mo Martin,St. Joseph's (PA),USA,3.0,0.7,0.9,0.0,1986
2543,Phil Martin,Toledo,USA,1.7,0.9,1.4,0.0,1954
2544,Ronald Martin,St. Bonaventure,USA,3.4,1.7,2.4,0.0,1961
2545,Slater Martin,Texas,USA,9.8,4.2,3.4,7.0,Undrafted
2546,Jamal Mashburn,Kentucky,USA,19.1,4.0,5.4,1.0,1993
2547,Al Masino,Canisius,USA,4.8,1.8,2.1,0.0,Undrafted
2548,Anthony Mason,Tennessee State,USA,10.9,3.4,8.3,1.0,1988
2549,Desmond Mason,Oklahoma State,USA,12.1,1.6,4.5,0.0,2000
2550,Frank Mason,Kansas,USA,6.3,3.0,3.0,,2017
2551,Roger Mason Jr.,Virginia,USA,6.3,1.3,1.7,0.0,2002
2552,Tony Massenburg,Maryland,USA,6.2,0.4,4.3,0.0,1990
2553,Eddie Mast,Temple,USA,2.5,0.5,2.4,0.0,1969
2554,Yante Maten,Georgia,USA,1.0,0.0,1.5,0.0,Undrafted
2555,Garrison Mathews,Lipscomb,USA,6.7,0.4,1.7,,Undrafted
2556,Mangok Mathiang,Louisville,Australia,2.0,0.0,2.5,0.0,Undrafted
